====================================================================================================
 1. TOP 50 TRAIN (with OOS)
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
 10  HMA144 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,291  27.98%  +4.34  1.268  1.255 +2.351  +16,776.5  81.60%  8.445  [OKAY]
 11  EMA 21 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,005  28.03%  +4.32  1.268  1.253 +2.355  +16,065.5  78.57%  8.246  [OKAY]
 12  HMA 21 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,315  28.03%  +4.30  1.275  1.252 +2.399  +18,635.3  96.82%  8.877  [OKAY]
 13  HMA 89 CONFI  5 N5 ALL_FA long TP32 SETUP_F     indepe     | O  7,400  32.77%  +4.72  1.274  1.250 +2.237  +13,730.0  66.63%  8.316  [OKAY]
 14  HMA144 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,890  27.94%  +4.25  1.265  1.249 +2.324  +17,609.7  87.71%  8.579  [OKAY]
 15  EMA 34 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,459  27.93%  +4.25  1.259  1.249 +2.281  +14,745.1  73.43%  7.838  [OKAY]
 16  HMA 34 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,464  28.13%  +4.26  1.283  1.248 +2.461  +18,639.3  67.52%  8.843  [OKAY]
 17  HMA 21 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,854  28.01%  +4.22  1.274  1.247 +2.391  +19,294.0  94.19%  8.961  [OKAY]
 18  EMA144 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,395  27.74%  +4.16  1.249  1.244 +2.194  +12,431.3  83.28%  7.127  [OKAY]
 19  HMA 89 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,636  27.96%  +4.17  1.267  1.243 +2.338  +18,638.0  81.11%  8.756  [OKAY]
 20  HMA 55 CONFI  5 N5 ALL_FA long TP32 SETUP_F     indepe     | O  7,898  32.62%  +4.59  1.268  1.243 +2.184  +14,266.5  85.08%  8.368  [OKAY]
 21  HMA 89 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  8,813  28.03%  +4.17  1.270  1.243 +2.362  +16,988.3  33.91%  8.359  [OKAY]
 22  EMA 55 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,013  27.81%  +4.13  1.251  1.242 +2.212  +13,505.4  69.94%  7.412  [OKAY]
 23  HMA144 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,379  27.90%  +4.14  1.263  1.242 +2.305  +18,038.9  85.38%  8.585  [OKAY]
 24  HMA200 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,699  27.63%  +4.11  1.242  1.242 +2.136  +12,913.8  81.93%  7.223  [OKAY]
 25  HMA 55 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,771  27.95%  +4.14  1.268  1.241 +2.343  +18,742.2  84.77%  8.751  [OKAY]
 26  HMA 34 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  8,582  22.48%  +3.52  1.387  1.239 +2.489  +18,119.8 126.81%  7.809  [OKAY]
 27  HMA 89 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | O 10,050  27.88%  +4.07  1.263  1.237 +2.305  +18,951.8  82.72%  8.734  [OKAY]
 28  HMA200 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,955  27.79%  +4.06  1.257  1.237 +2.254  +16,903.9  93.28%  8.234  [OKAY]
 29  HMA 21 CONFI  5 N3 ALL_FA long TP40 SETUP_F     indepe     | O 10,638  27.96%  +4.08  1.271  1.237 +2.368  +20,036.2  79.77%  8.995  [OKAY]
 30  HMA 21 CONFI  5 N3 FAVORA long TP40 SETUP_F     indepe     | O 10,638  27.96%  +4.08  1.271  1.237 +2.368  +20,036.2  79.77%  8.995  [OKAY]

====================================================================================================
 TOP 20 EMA (OOS)
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
  1  EMA 21 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,005  28.03%  +4.32  1.268  1.253 +2.355  +16,065.5  78.57%  8.246
  2  EMA 34 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,459  27.93%  +4.25  1.259  1.249 +2.281  +14,745.1  73.43%  7.838
  3  EMA144 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,395  27.74%  +4.16  1.249  1.244 +2.194  +12,431.3  83.28%  7.127
  4  EMA 55 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,013  27.81%  +4.13  1.251  1.242 +2.212  +13,505.4  69.94%  7.412
  5  EMA 89 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,636  27.67%  +4.04  1.245  1.236 +2.159  +12,498.3  78.53%  7.053
  6  EMA 34 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,019  27.77%  +3.99  1.254  1.233 +2.233  +16,712.6  86.90%  8.130
  7  EMA 21 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,703  27.84%  +4.00  1.260  1.232 +2.282  +17,958.8  84.20%  8.435
  8  EMA200 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,250  27.60%  +3.97  1.240  1.232 +2.118  +11,572.4 102.73%  6.731
  9  EMA 21 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  8,005  22.35%  +3.39  1.377  1.230 +2.427  +16,283.1 127.77%  7.281
 10  EMA 34 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,589  27.76%  +3.95  1.254  1.229 +2.234  +17,532.7  85.68%  8.285
 11  EMA 55 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,393  27.69%  +3.90  1.249  1.227 +2.191  +16,996.4  92.35%  8.112
 12  EMA144 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,267  27.59%  +3.89  1.239  1.227 +2.112  +13,156.4  82.67%  7.124
 13  EMA200 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,981  27.49%  +3.86  1.233  1.225 +2.063  +12,589.3  96.25%  6.942
 14  EMA 55 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,917  27.66%  +3.87  1.246  1.225 +2.165  +16,008.4  97.44%  7.843
 15  EMA 55 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,371  27.58%  +3.85  1.240  1.224 +2.118  +14,979.2  99.37%  7.568
 16  EMA 21 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,217  27.74%  +3.85  1.248  1.223 +2.189  +16,398.7  57.94%  7.928
 17  EMA 34 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  7,459  22.24%  +3.28  1.368  1.223 +2.376  +14,693.9 125.90%  6.818
 18  EMA 89 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,762  27.51%  +3.81  1.235  1.222 +2.077  +13,775.3  91.59%  7.224
 19  EMA 34 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | O 10,000  27.67%  +3.83  1.250  1.222 +2.195  +17,709.3  89.46%  8.211
 20  EMA 89 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,274  27.56%  +3.80  1.237  1.221 +2.097  +14,600.7  98.63%  7.429

